id,name,water_type,lga,pump_type,survey,lat,long,pump_category,facility_label,valid_location
VAYML,Water Point,Borehole,kebbi_zuru,Hand Pump,8c225e69-524d-407c-a64e-7cd653eb937e,11.5250819921494,5.17351448535919,NA,Water Point - Borehole,TRUE
NUWJE,Water Point,Borehole,kebbi_zuru,Hand Pump,3c34cc1a-d74e-4e8d-8722-394071d1a2b6,11.40595538,5.00417201,NA,Water Point - Borehole,TRUE
IAPON,Water Point,Borehole,kebbi_zuru,Hand Pump,0e4656b6-75e6-41a5-b103-4f0b22b5828d,11.37629209,5.23458221,NA,Water Point - Borehole,TRUE
YRHZP,Water Point,Borehole,kebbi_zuru,Diesel,3c49eecf-f285-48aa-ae88-cef9d8c4951f,11.26731292,5.23094787,NA,Water Point - Borehole,TRUE
ZBYYO,Water Point,Borehole,kebbi_zuru,Hand Pump,93bae29c-e3b7-4f05-8936-5fde48e53e55,11.50122103,5.48678542,NA,Water Point - Borehole,TRUE
SPTHR,Water Point,Borehole,kebbi_zuru,Hand Pump,5be6ef14-ea12-4b5b-bf48-569a9a035d51,11.37822847,5.24882212,NA,Water Point - Borehole,TRUE
ZXJIN,Water Point,Borehole,kebbi_zuru,Diesel,274fe763-d381-4bcf-8da8-2c69444d5b0d,11.42212885,5.24708451,NA,Water Point - Borehole,TRUE
XCNJR,Water Point,Borehole,kebbi_zuru,Hand Pump,9d3cafff-6f7e-4ba6-b352-2920e824f9fc,11.51475479,5.45242126,NA,Water Point - Borehole,TRUE
KXCJA,Water Point,Unimproved Well,kebbi_zuru,Manual,ea473834-aeac-4382-9359-447b80111d43,11.28047211,5.19378656,NA,Water Point - Unimproved Well,TRUE
BRMMN,Water Point,Borehole,kebbi_zuru,Solar,962bd671-83aa-40cc-a44a-9a38943b3fec,11.3779558,5.24885147,NA,Water Point - Borehole,TRUE
RFWAB,Water Point,Borehole,kebbi_zuru,Hand Pump,722666b0-260a-422b-a653-c82bf9290037,11.42218757,5.03374067,NA,Water Point - Borehole,TRUE
TGICS,Water Point,Borehole,kebbi_zuru,Hand Pump,818a0327-1ed3-483a-9b0c-86bee268627c,11.34666471,5.26179066,NA,Water Point - Borehole,TRUE
CDXSE,Water Point,Borehole,kebbi_zuru,Hand Pump,8a33124a-b679-4311-bf67-293be3d81c09,11.31375975,5.22824152,NA,Water Point - Borehole,TRUE
WONZG,Water Point,Borehole,kebbi_zuru,Hand Pump,c6de4b30-99e7-4fc8-8e88-c78d38f44aaa,11.40083473,5.0202593,NA,Water Point - Borehole,TRUE
RTKUP,Water Point,Unimproved Well,kebbi_zuru,Manual,a690f0c2-09bd-4c77-91fd-f545d306cbb4,11.5402954816818,5.36854326725006,NA,Water Point - Unimproved Well,TRUE
LPEAL,Water Point,Borehole,kebbi_zuru,Hand Pump,ae6e3d20-6806-47c5-8bc3-04eb04261039,11.5398341417313,5.36372601985931,NA,Water Point - Borehole,TRUE
AJLFS,Water Point,Unimproved Well,kebbi_zuru,Manual,bddca551-f81f-4d68-80d4-d5152434b72a,11.31383447,5.22902419,NA,Water Point - Unimproved Well,TRUE
SWBGR,Water Point,Unimproved Well,kebbi_zuru,Manual,ac018081-2d8a-48c5-9dca-a626ffc1a270,11.3136567,5.22805769,NA,Water Point - Unimproved Well,TRUE
QQEVV,Water Point,Borehole,kebbi_zuru,Hand Pump,21b2bd83-fc05-4d33-8e92-4f38d286a21e,11.37491033,5.24862153,NA,Water Point - Borehole,TRUE
KESID,Water Point,Borehole,kebbi_zuru,Diesel,35791104-e0e0-4925-ae47-d90e052154b0,11.31312153,5.2047121,NA,Water Point - Borehole,TRUE
DIJUC,Water Point,Borehole,kebbi_zuru,Diesel,0e70db1a-8906-48ea-b998-ca2ebf6d60c5,11.44863016,5.23244778,NA,Water Point - Borehole,TRUE
HFSBJ,Water Point,Borehole,kebbi_zuru,Diesel,0ac5e738-8405-4e8f-9e62-b6824a7c7b2e,11.37630342,5.23462812,NA,Water Point - Borehole,TRUE
KNWGM,Water Point,Borehole,kebbi_zuru,Hand Pump,473e2ff8-c3c8-4afe-a2c7-2f6f3dbf1c2a,11.3777274,5.24723527,NA,Water Point - Borehole,TRUE
KVOCC,Water Point,Borehole,kebbi_zuru,Diesel,2d7aa943-856c-49ad-9cb6-dbdf11fda221,11.5371090173721,5.18883526325226,NA,Water Point - Borehole,TRUE
INBXO,Water Point,Unimproved Well,kebbi_zuru,Manual,5fd00aa1-0540-48f3-bf0c-e6aca4f176ad,11.31981511,5.20271243,NA,Water Point - Unimproved Well,TRUE
ATHAD,Water Point,Borehole,kebbi_zuru,Diesel,cbec0703-9f87-4705-9325-d400f87fb159,11.5268898010254,5.17636299133301,NA,Water Point - Borehole,TRUE
KDQEW,Water Point,Borehole,kebbi_zuru,Hand Pump,41f94fee-479c-4ac0-8750-a966d87331b8,11.5358966588974,5.31053245067596,NA,Water Point - Borehole,TRUE
YRAVK,Water Point,Borehole,kebbi_zuru,Diesel,f35cde81-0e49-4920-b90e-c7dcfdca37c2,11.2252585,5.16771669,NA,Water Point - Borehole,TRUE
QQWHL,Water Point,Borehole,kebbi_zuru,Hand Pump,e77819d5-8f9f-40e8-800e-e26a095f7b17,11.34882334,5.15770363,NA,Water Point - Borehole,TRUE
RQTUI,Water Point,Borehole,kebbi_zuru,Diesel,c2c9f315-b38b-43ec-97bb-244500a6bf4f,11.43500962,5.24091823,NA,Water Point - Borehole,TRUE
DBBME,Water Point,Borehole,kebbi_zuru,Hand Pump,b719eb8a-2dcc-4506-b179-a4c0a1a34bd5,11.34853516,5.26146282,NA,Water Point - Borehole,TRUE
VKCPU,Water Point,Borehole,kebbi_zuru,Hand Pump,364abfc9-05d4-4d67-bbfb-b785d5c6bdde,11.48694463,5.34433559,NA,Water Point - Borehole,TRUE
VTEJB,Water Point,Unimproved Well,kebbi_zuru,Manual,1ad10ae3-a60a-4807-98c9-af9cb9b45b4f,11.40060895,5.22448315,NA,Water Point - Unimproved Well,TRUE
PXDMA,Water Point,Borehole,kebbi_zuru,Hand Pump,f9d96062-3b2c-4e8f-964b-15990e1cb0a9,11.5177541971207,5.22558689117432,NA,Water Point - Borehole,TRUE
GVOPT,Water Point,Unimproved Well,kebbi_zuru,Manual,4a7863e1-bb9d-4f92-bf64-f31573980968,11.518719792366,5.27643620967865,NA,Water Point - Unimproved Well,TRUE
OYQLC,Water Point,Borehole,kebbi_zuru,Hand Pump,73704fff-c0e5-482a-a4ea-eb7869471d7e,11.42814936,5.2479504,NA,Water Point - Borehole,TRUE
DKKQM,Water Point,Unimproved Well,kebbi_zuru,Manual,95db52af-58c6-4b61-846c-3e96bae2dda8,11.44087434,5.22829493,NA,Water Point - Unimproved Well,TRUE
KSKVI,Water Point,Borehole,kebbi_zuru,Hand Pump,d7eeb60d-1a30-4fd0-b7f6-ed5899e26f2b,11.535816192627,5.31058073043823,NA,Water Point - Borehole,TRUE
NMYQJ,Water Point,Borehole,kebbi_zuru,Hand Pump,75b048ec-3ef0-4413-9991-9f9944526782,11.37372087,5.29358446,NA,Water Point - Borehole,TRUE
GNPFK,Water Point,Unimproved Well,kebbi_zuru,Manual,adc7e612-676e-4b4d-8757-e2c80c3ace1c,11.35017955,5.2920454,NA,Water Point - Unimproved Well,TRUE
ADHIU,Water Point,Borehole,kebbi_zuru,Solar,620970eb-eeeb-4fd3-94ec-7ca8c615ce29,11.5359717607498,5.18977403640747,NA,Water Point - Borehole,TRUE
XQSWC,Water Point,Borehole,kebbi_zuru,Hand Pump,e31a360d-0324-4c2a-88eb-3554874dd308,11.5364760160446,5.18899619579315,NA,Water Point - Borehole,TRUE
KEOXQ,Water Point,Borehole,kebbi_zuru,Hand Pump,1bea3c20-8ef5-4064-8894-e4fe1d1e2bf1,11.28879194,5.23356538,NA,Water Point - Borehole,TRUE
FLYEB,Water Point,Borehole,kebbi_zuru,Diesel,224b82d8-81fc-4baf-b373-f734ca79d7b4,11.41854164,5.23763086,NA,Water Point - Borehole,TRUE
UZWDS,Water Point,Borehole,kebbi_zuru,Hand Pump,73e4cf83-f2ff-4a9e-aa34-8102549dd5b2,11.44829191,5.23137473,NA,Water Point - Borehole,TRUE
KAHVJ,Water Point,Borehole,kebbi_zuru,Diesel,966022e8-6747-47c0-a7c3-8fba67fdbe98,11.43861041,5.22873133,NA,Water Point - Borehole,TRUE
KTVTL,Water Point,Borehole,kebbi_zuru,Hand Pump,ac34ed16-03bc-46f4-98fe-64f0684bb675,11.22523755,5.1677313,NA,Water Point - Borehole,TRUE
